RowID,OrderID,OrderDate,CustomerID,Segment,RegionCode,ProductCode,Quantity,Sales,Discount,Profit
25221,IN-2012-TH211151-41003,4/4/2020,TH-211151,Corporate,RRR0001,P000001,13,416,0,208
29464,ID-2013-BD116051-41518,9/1/2021,BD-116051,Consumer,R0002,PPP000002,4,20,0,10
27311,IN-2015-TS212051-42173,6/18/2023,TS-212051,Corporate,R0003,P000003,2,20,0,8
28882,IN-2014-SU206651-41899,9/17/2022,SU-206651,Self-Employed,R0003,P000004,4,556,0,55.6
27992,IN-2015-GM144551-42217,8/1/2023,GM-144551,Self-Employed,R0003,P000005,2,6,0,0.6
24598,IN-2015-CA120551-42085,3/22/2023,CA-120551,Self-Employed,R0002,P000006,3,18,0,7.2
29465,ID-2013-BD116051-41518,9/1/2021,BD-116051,Consumer,R0002,P000007,9,369,0,36.9
29095,IN-2013-BG110351-41545,9/28/2021,BG-110351,Consumer,R0003,P000008,2,22,0,2.2
25231,ID-2013-SS201401-41624,12/16/2021,SS-201401,Corporate,R0003,P000009,1,10,0,1
25220,IN-2012-TH211151-41003,4/4/2020,TH-211151,Corporate,RRR0001,PPP000010,5,70,0,35
29097,IN-2013-BG110351-41545,9/28/2021,BG-110351,Consumer,R0003,P000011,4,44,0,22
27310,IN-2015-TS212051-42173,6/18/2023,TS-212051,Corporate,R0003,P000012,12,408,0,163.2
25218,IN-2012-TH211151-41003,4/4/2020,TH-211151,Corporate,R0001,P000013,18,216,0,108
29586,IN-2013-DW131951-41430,6/5/2021,DW-131951,Corporate,R0003,P000014,9,126,0,63
29584,IN-2013-DW131951-41430,6/5/2021,DW-131951,Corporate,R0003,P000015,20,220,0,110
29583,IN-2013-DW131951-41430,6/5/2021,DW-131951,Corporate,R0003,P000016,18,180,0,90
24294,IN-2014-JM156551-41905,9/23/2022,JM-156551,Corporate,R0003,P000017,15,735,0,367.5
29494,IN-2014-LO171701-41906,9/24/2022,LO-171701,Corporate,R0003,P000018,12,336,0,168
28265,IN-2014-AH105851-41970,11/27/2022,AH-105851,Consumer,R0003,P000019,6,36,0,18
28967,IN-2015-VB217451-42349,12/11/2023,VB-217451,Corporate,R0003,P000020,4,32,0,12.8
23951,IN-2012-RS194201-41137,8/16/2020,RS-194201,Corporate,R0003,P000021,4,40,0,20
22319,IN-2012-ED138851-41255,12/12/2020,ED-138851,Self-Employed,R0003,P000022,1,10,0,5
23221,IN-2015-AA103751-42195,7/10/2023,AA-103751,Consumer,R0003,P000023,1,8,0,3.2
20963,IN-2015-LW168251-42307,10/30/2023,LW-168251,Corporate,R0004,P000024,11,220,0,88
28276,IN-2012-AH105851-41243,11/30/2020,AH-105851,Consumer,R0003,P000025,2,18,0,2.7
25233,ID-2013-SS201401-41624,12/16/2021,SS-201401,Corporate,R0003,P000026,13,247,0,37.05
21399,IN-2014-VW217751-41901,9/19/2022,VW-217751,Corporate,R0004,P000027,8,80,0,12
29493,IN-2014-LO171701-41906,9/24/2022,LO-171701,Corporate,R0003,P000028,12,816,0,122.4
24597,IN-2015-CA120551-42085,3/22/2023,CA-120551,Self-Employed,R0002,P000029,3,87,0,13.05
23218,IN-2015-AA103751-42195,7/10/2023,AA-103751,Consumer,R0003,P000030,2,24,0,3.6
25230,ID-2013-SS201401-41624,12/16/2021,SS-201401,Corporate,R0003,P000031,10,320,0,48
27278,IN-2014-CS118451-41657,1/18/2022,CS-118451,Corporate,R0003,P000032,13,494,0,74.1
23220,IN-2015-AA103751-42195,7/10/2023,AA-103751,Consumer,R0003,P000033,6,18,0,2.7
23219,IN-2015-AA103751-42195,7/10/2023,AA-103751,Consumer,R0003,P000034,4,32,0,4.8
28883,IN-2014-SU206651-41899,9/17/2022,SU-206651,Self-Employed,R0003,P000035,2,28,0,2.8
21400,IN-2014-VW217751-41901,9/19/2022,VW-217751,Corporate,R0004,P000036,19,57,0,5.7
24406,IN-2014-KH166901-41997,12/24/2022,KH-166901,Corporate,R0004,P000037,13,221,0,22.1
20529,IN-2015-EH139451-42249,9/2/2023,EH-139451,Consumer,R0003,P000038,6,54,0,5.4
24892,IN-2015-TS213401-42361,12/23/2023,TS-213401,Consumer,R0003,P000039,2,16,0,1.6
29585,IN-2013-DW131951-41430,6/5/2021,DW-131951,Corporate,R0003,P000040,9,252,0,25.2
29096,IN-2013-BG110351-41545,9/28/2021,BG-110351,Consumer,R0003,P000041,5,50,0,5
29492,IN-2014-LO171701-41906,9/24/2022,LO-171701,Corporate,R0003,P000042,10,50,0,5
28966,IN-2015-VB217451-42349,12/11/2023,VB-217451,Corporate,R0003,P000043,3,60,0,6
25217,IN-2012-TH211151-41003,4/4/2020,TH-211151,Corporate,R0001,P000044,12,132,0,13.2
29094,IN-2013-BG110351-41545,9/28/2021,BG-110351,Consumer,R0003,P000045,3,45,0,4.5
28879,ID-2013-AJ107801-41383,4/19/2021,AJ-107801,Corporate,R0003,P000046,19,114,0,11.4
25232,ID-2013-SS201401-41624,12/16/2021,SS-201401,Corporate,R0003,P000047,2,8,0,0.8
27279,IN-2014-CS118451-41657,1/18/2022,CS-118451,Corporate,R0003,P000048,13,169,0,16.9
25219,IN-2012-TH211151-41003,4/4/2020,TH-211151,Corporate,R0001,P000049,2,34,0,17
27433,IN-2012-DL134951-41119,7/29/2020,DL-134951,Corporate,R0003,P000050,5,45,0,22.5
20728,IN-2015-JG151151-42301,10/24/2023,JG-151151,Consumer,R0003,P000051,6,42,0,16.8
